property_name,seller,facilities,advantages,column0,column1,column2,column3,column4,column5,floors,units,total project area,towers,open area,address
The Edge by Risinia,Risinia BuildersBuilder,18,10.96666667,3,Apartment,Super Built-up Area,1661,(126.53 - 182.09 sq.m.),0.9313,,272,,,,"Pragathi nagar,hyderabad"
Devi Homes Samruddhi,JAISRIDEVI HOMES PRIVATE LIMITEDBuilder,18,,2,Apartment,Super Built-up Area,1170,(102.19 - 115.2 sq.m.),,5,425,5.05,8,,"patancheru,hyderabad"
Devi Homes Samruddhi,JAISRIDEVI HOMES PRIVATE LIMITEDBuilder,18,,3,Apartment,Super Built-up Area,1565,(140.28 - 150.5 sq.m.),0.755,5,425,5.05,8,,"patancheru,hyderabad"
Sharvani Sree Hemadurga Paradise,SHARVANI Ventures and Avenues Pvt. LtdBuilder,18,10,2,Apartment,Super Built-up Area,1207,(96.34 - 127.93 sq.m.),0.82665,12,1154,8,6,,"chandanagar,hyderabad"
Sharvani Sree Hemadurga Paradise,SHARVANI Ventures and Avenues Pvt. LtdBuilder,18,10,3,Apartment,Super Built-up Area,1824.5,(153.29 - 185.71 sq.m.),1.25,12,1154,8,6,,"chandanagar,hyderabad"
The Prestige City Hyderabad,Tanvi RealtyDealer,27,,2,Apartment,Super Built-up Area,1363.5,(109.53 - 143.81 sq.m.),0.92585,42,4702,55.15,13,,"Rajendra nagar,hyderabad"
The Prestige City Hyderabad,Tanvi RealtyDealer,27,,3,Apartment,Super Built-up Area,2032,(151.52 - 226.03 sq.m.),1.385,42,4702,55.15,13,,"Rajendra nagar,hyderabad"
The Prestige City Hyderabad,Tanvi RealtyDealer,27,,4,Apartment,Super Built-up Area,3389.5,(311.04 - 318.75 sq.m.),2.31,42,4702,55.15,13,,"Rajendra nagar,hyderabad"
Hallmark Skyrena,Hallmark BuildersBuilder,27,9.969230769,2,Apartment,Super Built-up Area,1325,(123.1 sq.m.),1.1,13,,,5,,"narsingi,hyderabad"
Hallmark Skyrena,Hallmark BuildersBuilder,27,9.969230769,3,Apartment,Super Built-up Area,1945,(151.9 - 209.5 sq.m.),1.615,13,,,5,,"narsingi,hyderabad"
Vasavi Bhuvi,VASAVI INFRACON LLPBuilder,24,6.181818182,2,Apartment,Super Built-up Area,1417.5,(123.56 - 139.82 sq.m.),0.76545,17,1208,10.65,8,65%,"kompally,hyderabad"
